"","protein","wv1","wv2","wv3","wv4","wv5","wv6","wv7","wv8","wv9","wv10","wv11","wv12","wv13","wv14","wv15","wv16","wv17","wv18","wv19","wv20","wv21","wv22","wv23","wv24","wv25","wv26","wv27","wv28","wv29","wv30","wv31","wv32","wv33","wv34","wv35","wv36","wv37","wv38","wv39","wv40","wv41","wv42","wv43","wv44","wv45","wv46","wv47","wv48","wv49","wv50","wv51","wv52","wv53","wv54","wv55","wv56","wv57","wv58","wv59","wv60","wv61","wv62","wv63","wv64","wv65","wv66","wv67","wv68"
"30",12,0.0392,0.0567,0.0756,0.0882,0.088,0.0764,0.0693,0.0655,0.0617,0.0615,0.0698,0.0863,0.1024,0.1291,0.1914,0.2538,0.2796,0.2808,0.2695,0.2541,0.2411,0.2328,0.2262,0.2148,0.1979,0.1816,0.1688,0.165,0.1817,0.1914,0.1976,0.2054,0.2084,0.2038,0.1929,0.1839,0.1769,0.1955,0.2796,0.4195,0.4926,0.4708,0.4281,0.3868,0.362,0.3701,0.3992,0.4203,0.4315,0.4313,0.4195,0.4062,0.3933,0.3834,0.3704,0.3635,0.3939,0.4473,0.4668,0.479,0.4771,0.4704,0.4705,0.4792,0.5138,0.5584,0.6079,0.646
"31",10.7,0.04,0.0574,0.0763,0.0891,0.089,0.0778,0.0705,0.0668,0.0629,0.0626,0.0711,0.0875,0.1037,0.1302,0.1916,0.2538,0.2791,0.2804,0.2691,0.254,0.2413,0.2335,0.2272,0.2161,0.1991,0.1829,0.1701,0.166,0.1821,0.1916,0.1974,0.2055,0.209,0.2044,0.1937,0.1847,0.1777,0.1959,0.2783,0.4157,0.4866,0.4651,0.4226,0.382,0.3582,0.3664,0.3953,0.4173,0.4294,0.4293,0.4175,0.4035,0.3893,0.3794,0.3667,0.3601,0.3901,0.4426,0.4622,0.4739,0.4716,0.465,0.4649,0.4738,0.5075,0.5522,0.5997,0.6355
"32",12.7,0.0407,0.0605,0.0812,0.0949,0.0946,0.0823,0.0746,0.0706,0.0667,0.0664,0.0754,0.0932,0.1107,0.1389,0.2044,0.271,0.2988,0.3001,0.2888,0.2732,0.2596,0.2508,0.244,0.2322,0.2141,0.1966,0.1833,0.1792,0.198,0.2077,0.2146,0.2223,0.2253,0.2205,0.2087,0.1991,0.1913,0.21,0.2979,0.4448,0.5218,0.4992,0.455,0.4112,0.3853,0.3954,0.4268,0.4497,0.4608,0.4607,0.4486,0.4345,0.4209,0.4103,0.3961,0.3886,0.4207,0.4769,0.497,0.5089,0.5065,0.4992,0.4979,0.5066,0.5421,0.5871,0.6334,0.6748
"33",8.9,0.0358,0.0514,0.0676,0.079,0.0789,0.0688,0.0624,0.0589,0.0553,0.0547,0.0617,0.0761,0.0898,0.1128,0.1673,0.2228,0.2447,0.2452,0.2345,0.2204,0.2093,0.2024,0.1969,0.1868,0.1718,0.1569,0.1454,0.1411,0.1555,0.1637,0.1687,0.1764,0.1801,0.1762,0.1662,0.1585,0.1522,0.1683,0.2416,0.3645,0.4284,0.4077,0.3687,0.3318,0.311,0.3197,0.3458,0.3672,0.3787,0.3791,0.3683,0.3542,0.3401,0.3314,0.3205,0.3151,0.342,0.3896,0.4071,0.4181,0.4155,0.4089,0.4091,0.4171,0.4482,0.4886,0.5316,0.5686
"34",11.4,0.0389,0.0566,0.0755,0.0881,0.0879,0.0767,0.0695,0.0657,0.062,0.0616,0.0699,0.0861,0.1021,0.1283,0.1891,0.2509,0.2761,0.2773,0.2662,0.251,0.2382,0.2306,0.2244,0.2135,0.1965,0.1804,0.1676,0.1638,0.1802,0.1896,0.1956,0.2035,0.2066,0.2021,0.1913,0.1823,0.1753,0.1932,0.2748,0.4114,0.4822,0.4606,0.4185,0.3785,0.3549,0.3637,0.3931,0.4147,0.4263,0.4262,0.4145,0.4008,0.3876,0.3778,0.3649,0.3583,0.3883,0.4406,0.4601,0.4718,0.4694,0.4624,0.4621,0.4706,0.504,0.5485,0.5965,0.6321
"35",11.6,0.0396,0.0567,0.0755,0.0883,0.0882,0.0767,0.0693,0.0655,0.0614,0.0609,0.0688,0.0851,0.1013,0.1265,0.1869,0.2497,0.2755,0.2768,0.2661,0.2512,0.2384,0.2312,0.2254,0.2142,0.1972,0.1807,0.1678,0.1641,0.1811,0.191,0.197,0.2047,0.2076,0.2028,0.1919,0.1825,0.1751,0.1914,0.2708,0.4066,0.4775,0.4556,0.4141,0.3744,0.352,0.3635,0.3957,0.419,0.4317,0.4315,0.4197,0.4059,0.3921,0.3824,0.3688,0.3624,0.3932,0.447,0.4671,0.4785,0.4762,0.4685,0.4679,0.4756,0.5091,0.5548,0.6037,0.6421
"36",13.5,0.0453,0.0645,0.0853,0.0997,0.099,0.0864,0.0787,0.0748,0.071,0.0706,0.0803,0.0985,0.1169,0.1468,0.215,0.2834,0.3113,0.3131,0.3015,0.2848,0.2711,0.2619,0.2551,0.2426,0.224,0.2061,0.1921,0.1887,0.2081,0.2184,0.2254,0.2331,0.2362,0.2311,0.2193,0.2089,0.2015,0.2222,0.3137,0.4653,0.5444,0.5218,0.4768,0.432,0.4047,0.4134,0.4447,0.4661,0.477,0.4773,0.4648,0.4518,0.439,0.4281,0.4137,0.4054,0.439,0.4961,0.5172,0.5299,0.5271,0.5207,0.5196,0.5295,0.5667,0.6137,0.6633,0.7056
"37",12.2,0.0407,0.059,0.0787,0.092,0.0919,0.0798,0.0722,0.0683,0.0643,0.0637,0.0722,0.0891,0.1061,0.1324,0.1944,0.2589,0.2854,0.287,0.2762,0.2611,0.2482,0.2405,0.2341,0.2229,0.2053,0.1886,0.1755,0.1713,0.1895,0.1995,0.2061,0.2135,0.2166,0.2117,0.2003,0.1907,0.1829,0.2002,0.2817,0.4204,0.4926,0.4703,0.4284,0.3878,0.3648,0.3765,0.4092,0.4326,0.4446,0.445,0.4331,0.4193,0.4062,0.3956,0.3825,0.3755,0.4068,0.4616,0.4815,0.4936,0.4906,0.4835,0.4822,0.49,0.5243,0.5688,0.6172,0.656
"38",8.4,0.0389,0.0556,0.0741,0.087,0.0877,0.0762,0.0691,0.0652,0.0609,0.0602,0.068,0.0844,0.1003,0.1249,0.1842,0.2465,0.2721,0.2731,0.2622,0.2473,0.2355,0.229,0.2233,0.2127,0.1957,0.1794,0.1665,0.1618,0.1776,0.1872,0.1925,0.201,0.2047,0.2002,0.1893,0.18,0.1721,0.1878,0.2642,0.3955,0.464,0.4413,0.3998,0.3605,0.34,0.3531,0.3846,0.4106,0.4249,0.4252,0.4129,0.3961,0.3804,0.3697,0.3569,0.3516,0.3819,0.4357,0.4554,0.4676,0.4649,0.4566,0.4571,0.4644,0.4991,0.5434,0.5926,0.6303
"39",9,0.0389,0.0537,0.0697,0.0813,0.0812,0.071,0.0645,0.061,0.0573,0.0565,0.0632,0.0774,0.0908,0.1126,0.1652,0.2202,0.2421,0.243,0.2329,0.2197,0.2092,0.2025,0.1974,0.1875,0.1724,0.1577,0.1463,0.1422,0.1568,0.1654,0.1702,0.1776,0.1811,0.1769,0.1671,0.1592,0.1525,0.1672,0.2366,0.3555,0.418,0.3974,0.3597,0.3241,0.3052,0.316,0.3436,0.3664,0.3791,0.3802,0.3696,0.3553,0.3415,0.3327,0.3223,0.3168,0.3443,0.3922,0.4103,0.4209,0.4181,0.4113,0.4109,0.4188,0.4498,0.4909,0.5353,0.5727
